filename,pose_category,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
1725301674593.png,land,0.564794,0.24889693,0.57538885,0.23438232,0.55518353,0.23342347,0.58994347,0.23694685,0.5396126,0.23443827,0.6069846,0.32012188,0.52159846,0.32073498,0.60132915,0.42333725,0.5168935,0.42481345,0.55684143,0.5029622,0.5486282,0.5033269,0.5892982,0.5013176,0.5339579,0.5008851,0.58022183,0.6375088,0.52895844,0.6366226,0.559753,0.7677372,0.54242575,0.77048576
1725301679341.png,land,0.570362,0.27246076,0.5816218,0.25896704,0.56078845,0.2577991,0.5980901,0.26505503,0.54622084,0.26213077,0.6153503,0.34602943,0.5281194,0.34485134,0.60727054,0.4540775,0.5228881,0.44945294,0.55960625,0.54060197,0.5569657,0.5283864,0.5962353,0.5328171,0.5386927,0.53139216,0.5873778,0.6678976,0.53367525,0.666827,0.5689573,0.79913765,0.5488621,0.8000898
1725301689975.png,land,0.55406916,0.2871168,0.5648862,0.27371922,0.54513514,0.27192953,0.5803096,0.27473542,0.53086597,0.27040085,0.59565735,0.3542401,0.511566,0.35209304,0.59053147,0.46000445,0.50589776,0.4539698,0.54750186,0.5424499,0.5382226,0.53324795,0.5783112,0.53678775,0.5238956,0.53462607,0.56943953,0.6679438,0.5159078,0.66575915,0.5500651,0.7924186,0.53268296,0.7924548
1725301695822.png,land,0.5520813,0.28406027,0.5627078,0.27085334,0.5426574,0.26944223,0.5773137,0.2757777,0.5275132,0.27228832,0.59322345,0.35886568,0.5077869,0.35628116,0.5883646,0.4677781,0.5024586,0.4606048,0.5455262,0.55751306,0.53264743,0.5439262,0.57548887,0.5487941,0.5196065,0.5463608,0.5706662,0.68341714,0.513697,0.6800095,0.55034506,0.8132182,0.5302256,0.81140536
1725302204942.png,land,0.50442874,0.23914926,0.5130206,0.22795714,0.49603602,0.22809212,0.5257097,0.23785791,0.48319262,0.23842567,0.5400383,0.31501487,0.46584094,0.31369933,0.54187423,0.40634936,0.46040344,0.40488732,0.507318,0.45988014,0.48839748,0.46864933,0.5187195,0.48120147,0.46754023,0.47941545,0.5187079,0.6077492,0.46864578,0.6019692,0.5210503,0.7281006,0.463986,0.72208357
1725302209387.png,land,0.53652906,0.27827987,0.5445376,0.26544055,0.5268921,0.26595688,0.5543468,0.2738288,0.5105556,0.27436194,0.5683361,0.35771808,0.49300572,0.3566329,0.5779896,0.45569602,0.48798087,0.45633033,0.5407651,0.51102567,0.5183395,0.5217602,0.5503684,0.53617996,0.5000712,0.534451,0.55301315,0.6639685,0.49236426,0.6612389,0.54654235,0.7861501,0.4907032,0.7820333
1725302214162.png,land,0.5058848,0.27467886,0.51490366,0.26190266,0.4953158,0.26234883,0.52681255,0.27322045,0.47873843,0.27446198,0.54147804,0.35856816,0.4601231,0.36016467,0.55275106,0.4624886,0.45676193,0.4659514,0.5103133,0.52300596,0.49161276,0.5336421,0.5263234,0.54517984,0.47140095,0.5451577,0.5271773,0.68360263,0.46487802,0.6869864,0.52564657,0.81304556,0.46562114,0.81344515
IMG_20241016_103036.jpg,land,0.50391793,0.2713786,0.5115258,0.2604268,0.49551588,0.2629763,0.52708715,0.26053172,0.486135,0.26737472,0.5424413,0.31382218,0.4817893,0.31770408,0.54252845,0.391229,0.49080005,0.38837236,0.52256423,0.44632015,0.519977,0.45033842,0.5266188,0.46377754,0.48361492,0.46441454,0.52361774,0.5860444,0.48245296,0.5849779,0.52800727,0.6955025,0.48044935,0.69752246
IMG_20241016_103038.jpg,land,0.5255889,0.27902576,0.5331832,0.26799756,0.51755226,0.27080455,0.5496784,0.2696778,0.5093812,0.27724472,0.56603414,0.32468536,0.50472176,0.32845765,0.5627425,0.4033256,0.5108432,0.39742404,0.54017216,0.4595718,0.5374731,0.45994377,0.55031663,0.4693804,0.5068868,0.4699327,0.54843545,0.593555,0.50710595,0.592153,0.552634,0.70645744,0.5051513,0.70825267
IMG_20241016_103042_1.jpg,land,0.4656076,0.1971249,0.47310975,0.18422171,0.45634654,0.1880287,0.49019003,0.18347257,0.44734845,0.1936098,0.5104287,0.242341,0.4443261,0.24873292,0.5069936,0.32304007,0.4508726,0.32173264,0.48290038,0.3770673,0.47596064,0.38475138,0.4983154,0.39459258,0.4519193,0.39581028,0.4952589,0.5261435,0.45198742,0.5241192,0.49755198,0.64593595,0.4516114,0.6461908
